coffee_type,size,sugar,sugar_type,milk,extra,cost
filter,single,medium-to-sweet,honey,fresh,vanilla syrup,2.6
filter,single,medium-to-sweet,honey,fresh,cinnamon powder,2.3
filter,single,medium-to-sweet,honey,fresh,chocolate powder,2.3
filter,single,medium-to-sweet,honey,evapore,,2.3
filter,single,medium-to-sweet,honey,evapore,chocolate syrup,2.6
filter,single,medium-to-sweet,honey,evapore,strawberry syrup,2.6
filter,single,medium-to-sweet,honey,evapore,caramel syrup,2.6
filter,single,medium-to-sweet,honey,evapore,hazelnut syrup,2.6
filter,single,medium-to-sweet,honey,evapore,vanilla syrup,2.6
filter,single,medium-to-sweet,honey,evapore,cinnamon powder,2.3
filter,single,medium-to-sweet,honey,evapore,chocolate powder,2.3
filter,single,medium-to-sweet,honey,almond,,2.7
filter,single,medium-to-sweet,honey,almond,chocolate syrup,3.0
filter,single,medium-to-sweet,honey,almond,strawberry syrup,3.0
filter,single,medium-to-sweet,honey,almond,caramel syrup,3.0
filter,single,medium-to-sweet,honey,almond,hazelnut syrup,3.0
filter,single,medium-to-sweet,honey,almond,vanilla syrup,3.0
filter,single,medium-to-sweet,honey,almond,cinnamon powder,2.7
filter,single,medium-to-sweet,honey,almond,chocolate powder,2.7
filter,single,medium-to-sweet,honey,coconut,,2.7
filter,single,medium-to-sweet,honey,coconut,chocolate syrup,3.0
filter,single,medium-to-sweet,honey,coconut,strawberry syrup,3.0
filter,single,medium-to-sweet,honey,coconut,caramel syrup,3.0
filter,single,medium-to-sweet,honey,coconut,hazelnut syrup,3.0
filter,single,medium-to-sweet,honey,coconut,vanilla syrup,3.0
filter,single,medium-to-sweet,honey,coconut,cinnamon powder,2.7
filter,single,medium-to-sweet,honey,coconut,chocolate powder,2.7
filter,single,medium-to-sweet,honey,oat,,2.7
filter,single,medium-to-sweet,honey,oat,chocolate syrup,3.0
filter,single,medium-to-sweet,honey,oat,strawberry syrup,3.0
filter,single,medium-to-sweet,honey,oat,caramel syrup,3.0
filter,single,medium-to-sweet,honey,oat,hazelnut syrup,3.0
filter,single,medium-to-sweet,honey,oat,vanilla syrup,3.0
filter,single,medium-to-sweet,honey,oat,cinnamon powder,2.7
filter,single,medium-to-sweet,honey,oat,chocolate powder,2.7
filter,single,sweet,white,,,2.0
filter,single,sweet,white,,chocolate syrup,2.3
filter,single,sweet,white,,strawberry syrup,2.3
filter,single,sweet,white,,caramel syrup,2.3
filter,single,sweet,white,,hazelnut syrup,2.3
filter,single,sweet,white,,vanilla syrup,2.3
filter,single,sweet,white,,cinnamon powder,2.0
filter,single,sweet,white,,chocolate powder,2.0
filter,single,sweet,white,fresh,,2.0
filter,single,sweet,white,fresh,chocolate syrup,2.3
filter,single,sweet,white,fresh,strawberry syrup,2.3
filter,single,sweet,white,fresh,caramel syrup,2.3
filter,single,sweet,white,fresh,hazelnut syrup,2.3
filter,single,sweet,white,fresh,vanilla syrup,2.3
filter,single,sweet,white,fresh,cinnamon powder,2.0
filter,single,sweet,white,fresh,chocolate powder,2.0
filter,single,sweet,white,evapore,,2.0
filter,single,sweet,white,evapore,chocolate syrup,2.3
filter,single,sweet,white,evapore,strawberry syrup,2.3
filter,single,sweet,white,evapore,caramel syrup,2.3
filter,single,sweet,white,evapore,hazelnut syrup,2.3
filter,single,sweet,white,evapore,vanilla syrup,2.3
filter,single,sweet,white,evapore,cinnamon powder,2.0
filter,single,sweet,white,evapore,chocolate powder,2.0
filter,single,sweet,white,almond,,2.4
filter,single,sweet,white,almond,chocolate syrup,2.7
filter,single,sweet,white,almond,strawberry syrup,2.7
filter,single,sweet,white,almond,caramel syrup,2.7
filter,single,sweet,white,almond,hazelnut syrup,2.7
filter,single,sweet,white,almond,vanilla syrup,2.7
filter,single,sweet,white,almond,cinnamon powder,2.4
filter,single,sweet,white,almond,chocolate powder,2.4
filter,single,sweet,white,coconut,,2.4
filter,single,sweet,white,coconut,chocolate syrup,2.7
filter,single,sweet,white,coconut,strawberry syrup,2.7
filter,single,sweet,white,coconut,caramel syrup,2.7
filter,single,sweet,white,coconut,hazelnut syrup,2.7
filter,single,sweet,white,coconut,vanilla syrup,2.7
filter,single,sweet,white,coconut,cinnamon powder,2.4
filter,single,sweet,white,coconut,chocolate powder,2.4
filter,single,sweet,white,oat,,2.4
filter,single,sweet,white,oat,chocolate syrup,2.7
filter,single,sweet,white,oat,strawberry syrup,2.7
filter,single,sweet,white,oat,caramel syrup,2.7
filter,single,sweet,white,oat,hazelnut syrup,2.7
filter,single,sweet,white,oat,vanilla syrup,2.7
filter,single,sweet,white,oat,cinnamon powder,2.4
filter,single,sweet,white,oat,chocolate powder,2.4
filter,single,sweet,brown,,,2.0
filter,single,sweet,brown,,chocolate syrup,2.3
filter,single,sweet,brown,,strawberry syrup,2.3
filter,single,sweet,brown,,caramel syrup,2.3
filter,single,sweet,brown,,hazelnut syrup,2.3
filter,single,sweet,brown,,vanilla syrup,2.3
filter,single,sweet,brown,,cinnamon powder,2.0
filter,single,sweet,brown,,chocolate powder,2.0
filter,single,sweet,brown,fresh,,2.0
filter,single,sweet,brown,fresh,chocolate syrup,2.3
filter,single,sweet,brown,fresh,strawberry syrup,2.3
filter,single,sweet,brown,fresh,caramel syrup,2.3
filter,single,sweet,brown,fresh,hazelnut syrup,2.3
filter,single,sweet,brown,fresh,vanilla syrup,2.3
filter,single,sweet,brown,fresh,cinnamon powder,2.0
filter,single,sweet,brown,fresh,chocolate powder,2.0
filter,single,sweet,brown,evapore,,2.0
filter,single,sweet,brown,evapore,chocolate syrup,2.3
filter,single,sweet,brown,evapore,strawberry syrup,2.3
filter,single,sweet,brown,evapore,caramel syrup,2.3
filter,single,sweet,brown,evapore,hazelnut syrup,2.3
filter,single,sweet,brown,evapore,vanilla syrup,2.3
filter,single,sweet,brown,evapore,cinnamon powder,2.0
filter,single,sweet,brown,evapore,chocolate powder,2.0
filter,single,sweet,brown,almond,,2.4
filter,single,sweet,brown,almond,chocolate syrup,2.7
filter,single,sweet,brown,almond,strawberry syrup,2.7
filter,single,sweet,brown,almond,caramel syrup,2.7
filter,single,sweet,brown,almond,hazelnut syrup,2.7
filter,single,sweet,brown,almond,vanilla syrup,2.7
filter,single,sweet,brown,almond,cinnamon powder,2.4
filter,single,sweet,brown,almond,chocolate powder,2.4
filter,single,sweet,brown,coconut,,2.4
filter,single,sweet,brown,coconut,chocolate syrup,2.7
filter,single,sweet,brown,coconut,strawberry syrup,2.7
filter,single,sweet,brown,coconut,caramel syrup,2.7
filter,single,sweet,brown,coconut,hazelnut syrup,2.7
filter,single,sweet,brown,coconut,vanilla syrup,2.7
filter,single,sweet,brown,coconut,cinnamon powder,2.4
filter,single,sweet,brown,coconut,chocolate powder,2.4
filter,single,sweet,brown,oat,,2.4
filter,single,sweet,brown,oat,chocolate syrup,2.7
filter,single,sweet,brown,oat,strawberry syrup,2.7
filter,single,sweet,brown,oat,caramel syrup,2.7
filter,single,sweet,brown,oat,hazelnut syrup,2.7
filter,single,sweet,brown,oat,vanilla syrup,2.7
filter,single,sweet,brown,oat,cinnamon powder,2.4
filter,single,sweet,brown,oat,chocolate powder,2.4
filter,single,sweet,saccharin,,,2.0
filter,single,sweet,saccharin,,chocolate syrup,2.3
filter,single,sweet,saccharin,,strawberry syrup,2.3
filter,single,sweet,saccharin,,caramel syrup,2.3
filter,single,sweet,saccharin,,hazelnut syrup,2.3
filter,single,sweet,saccharin,,vanilla syrup,2.3
filter,single,sweet,saccharin,,cinnamon powder,2.0
filter,single,sweet,saccharin,,chocolate powder,2.0
filter,single,sweet,saccharin,fresh,,2.0
filter,single,sweet,saccharin,fresh,chocolate syrup,2.3
filter,single,sweet,saccharin,fresh,strawberry syrup,2.3
filter,single,sweet,saccharin,fresh,caramel syrup,2.3
filter,single,sweet,saccharin,fresh,hazelnut syrup,2.3
filter,single,sweet,saccharin,fresh,vanilla syrup,2.3
filter,single,sweet,saccharin,fresh,cinnamon powder,2.0
filter,single,sweet,saccharin,fresh,chocolate powder,2.0
filter,single,sweet,saccharin,evapore,,2.0
filter,single,sweet,saccharin,evapore,chocolate syrup,2.3
filter,single,sweet,saccharin,evapore,strawberry syrup,2.3
filter,single,sweet,saccharin,evapore,caramel syrup,2.3
filter,single,sweet,saccharin,evapore,hazelnut syrup,2.3
filter,single,sweet,saccharin,evapore,vanilla syrup,2.3
filter,single,sweet,saccharin,evapore,cinnamon powder,2.0
filter,single,sweet,saccharin,evapore,chocolate powder,2.0
filter,single,sweet,saccharin,almond,,2.4
filter,single,sweet,saccharin,almond,chocolate syrup,2.7
filter,single,sweet,saccharin,almond,strawberry syrup,2.7
filter,single,sweet,saccharin,almond,caramel syrup,2.7
filter,single,sweet,saccharin,almond,hazelnut syrup,2.7
filter,single,sweet,saccharin,almond,vanilla syrup,2.7
filter,single,sweet,saccharin,almond,cinnamon powder,2.4
filter,single,sweet,saccharin,almond,chocolate powder,2.4
filter,single,sweet,saccharin,coconut,,2.4
filter,single,sweet,saccharin,coconut,chocolate syrup,2.7
filter,single,sweet,saccharin,coconut,strawberry syrup,2.7
filter,single,sweet,saccharin,coconut,caramel syrup,2.7
filter,single,sweet,saccharin,coconut,hazelnut syrup,2.7
filter,single,sweet,saccharin,coconut,vanilla syrup,2.7
filter,single,sweet,saccharin,coconut,cinnamon powder,2.4
filter,single,sweet,saccharin,coconut,chocolate powder,2.4
filter,single,sweet,saccharin,oat,,2.4
filter,single,sweet,saccharin,oat,chocolate syrup,2.7
filter,single,sweet,saccharin,oat,strawberry syrup,2.7
filter,single,sweet,saccharin,oat,caramel syrup,2.7
filter,single,sweet,saccharin,oat,hazelnut syrup,2.7
filter,single,sweet,saccharin,oat,vanilla syrup,2.7
filter,single,sweet,saccharin,oat,cinnamon powder,2.4
filter,single,sweet,saccharin,oat,chocolate powder,2.4
filter,single,sweet,stevia,,,2.0
filter,single,sweet,stevia,,chocolate syrup,2.3
filter,single,sweet,stevia,,strawberry syrup,2.3
filter,single,sweet,stevia,,caramel syrup,2.3
filter,single,sweet,stevia,,hazelnut syrup,2.3
filter,single,sweet,stevia,,vanilla syrup,2.3
filter,single,sweet,stevia,,cinnamon powder,2.0
filter,single,sweet,stevia,,chocolate powder,2.0
filter,single,sweet,stevia,fresh,,2.0
filter,single,sweet,stevia,fresh,chocolate syrup,2.3
filter,single,sweet,stevia,fresh,strawberry syrup,2.3
filter,single,sweet,stevia,fresh,caramel syrup,2.3
filter,single,sweet,stevia,fresh,hazelnut syrup,2.3
filter,single,sweet,stevia,fresh,vanilla syrup,2.3
filter,single,sweet,stevia,fresh,cinnamon powder,2.0
filter,single,sweet,stevia,fresh,chocolate powder,2.0
filter,single,sweet,stevia,evapore,,2.0
filter,single,sweet,stevia,evapore,chocolate syrup,2.3
filter,single,sweet,stevia,evapore,strawberry syrup,2.3
filter,single,sweet,stevia,evapore,caramel syrup,2.3
filter,single,sweet,stevia,evapore,hazelnut syrup,2.3
filter,single,sweet,stevia,evapore,vanilla syrup,2.3
filter,single,sweet,stevia,evapore,cinnamon powder,2.0
filter,single,sweet,stevia,evapore,chocolate powder,2.0
filter,single,sweet,stevia,almond,,2.4
filter,single,sweet,stevia,almond,chocolate syrup,2.7
filter,single,sweet,stevia,almond,strawberry syrup,2.7
filter,single,sweet,stevia,almond,caramel syrup,2.7
filter,single,sweet,stevia,almond,hazelnut syrup,2.7
filter,single,sweet,stevia,almond,vanilla syrup,2.7
filter,single,sweet,stevia,almond,cinnamon powder,2.4
filter,single,sweet,stevia,almond,chocolate powder,2.4
filter,single,sweet,stevia,coconut,,2.4
filter,single,sweet,stevia,coconut,chocolate syrup,2.7
filter,single,sweet,stevia,coconut,strawberry syrup,2.7
filter,single,sweet,stevia,coconut,caramel syrup,2.7
filter,single,sweet,stevia,coconut,hazelnut syrup,2.7
filter,single,sweet,stevia,coconut,vanilla syrup,2.7
filter,single,sweet,stevia,coconut,cinnamon powder,2.4
filter,single,sweet,stevia,coconut,chocolate powder,2.4
filter,single,sweet,stevia,oat,,2.4
filter,single,sweet,stevia,oat,chocolate syrup,2.7
filter,single,sweet,stevia,oat,strawberry syrup,2.7
filter,single,sweet,stevia,oat,caramel syrup,2.7
filter,single,sweet,stevia,oat,hazelnut syrup,2.7
filter,single,sweet,stevia,oat,vanilla syrup,2.7
filter,single,sweet,stevia,oat,cinnamon powder,2.4
filter,single,sweet,stevia,oat,chocolate powder,2.4
filter,single,sweet,honey,,,2.3
filter,single,sweet,honey,,chocolate syrup,2.6
filter,single,sweet,honey,,strawberry syrup,2.6
filter,single,sweet,honey,,caramel syrup,2.6
filter,single,sweet,honey,,hazelnut syrup,2.6
filter,single,sweet,honey,,vanilla syrup,2.6
filter,single,sweet,honey,,cinnamon powder,2.3
filter,single,sweet,honey,,chocolate powder,2.3
filter,single,sweet,honey,fresh,,2.3
filter,single,sweet,honey,fresh,chocolate syrup,2.6
filter,single,sweet,honey,fresh,strawberry syrup,2.6
filter,single,sweet,honey,fresh,caramel syrup,2.6
filter,single,sweet,honey,fresh,hazelnut syrup,2.6
filter,single,sweet,honey,fresh,vanilla syrup,2.6
filter,single,sweet,honey,fresh,cinnamon powder,2.3
filter,single,sweet,honey,fresh,chocolate powder,2.3
filter,single,sweet,honey,evapore,,2.3
filter,single,sweet,honey,evapore,chocolate syrup,2.6
filter,single,sweet,honey,evapore,strawberry syrup,2.6
filter,single,sweet,honey,evapore,caramel syrup,2.6
filter,single,sweet,honey,evapore,hazelnut syrup,2.6
filter,single,sweet,honey,evapore,vanilla syrup,2.6
filter,single,sweet,honey,evapore,cinnamon powder,2.3
filter,single,sweet,honey,evapore,chocolate powder,2.3
filter,single,sweet,honey,almond,,2.7
filter,single,sweet,honey,almond,chocolate syrup,3.0
filter,single,sweet,honey,almond,strawberry syrup,3.0
filter,single,sweet,honey,almond,caramel syrup,3.0
filter,single,sweet,honey,almond,hazelnut syrup,3.0
filter,single,sweet,honey,almond,vanilla syrup,3.0
filter,single,sweet,honey,almond,cinnamon powder,2.7
filter,single,sweet,honey,almond,chocolate powder,2.7
filter,single,sweet,honey,coconut,,2.7
filter,single,sweet,honey,coconut,chocolate syrup,3.0
filter,single,sweet,honey,coconut,strawberry syrup,3.0
filter,single,sweet,honey,coconut,caramel syrup,3.0
filter,single,sweet,honey,coconut,hazelnut syrup,3.0
filter,single,sweet,honey,coconut,vanilla syrup,3.0
filter,single,sweet,honey,coconut,cinnamon powder,2.7
filter,single,sweet,honey,coconut,chocolate powder,2.7
filter,single,sweet,honey,oat,,2.7
filter,single,sweet,honey,oat,chocolate syrup,3.0
filter,single,sweet,honey,oat,strawberry syrup,3.0
filter,single,sweet,honey,oat,caramel syrup,3.0
filter,single,sweet,honey,oat,hazelnut syrup,3.0
filter,single,sweet,honey,oat,vanilla syrup,3.0
filter,single,sweet,honey,oat,cinnamon powder,2.7
filter,single,sweet,honey,oat,chocolate powder,2.7
filter,single,very sweet,white,,,2.0
filter,single,very sweet,white,,chocolate syrup,2.3
filter,single,very sweet,white,,strawberry syrup,2.3
filter,single,very sweet,white,,caramel syrup,2.3
filter,single,very sweet,white,,hazelnut syrup,2.3
filter,single,very sweet,white,,vanilla syrup,2.3
filter,single,very sweet,white,,cinnamon powder,2.0
filter,single,very sweet,white,,chocolate powder,2.0
filter,single,very sweet,white,fresh,,2.0
filter,single,very sweet,white,fresh,chocolate syrup,2.3
filter,single,very sweet,white,fresh,strawberry syrup,2.3
filter,single,very sweet,white,fresh,caramel syrup,2.3
filter,single,very sweet,white,fresh,hazelnut syrup,2.3
filter,single,very sweet,white,fresh,vanilla syrup,2.3
filter,single,very sweet,white,fresh,cinnamon powder,2.0
filter,single,very sweet,white,fresh,chocolate powder,2.0
filter,single,very sweet,white,evapore,,2.0
filter,single,very sweet,white,evapore,chocolate syrup,2.3
filter,single,very sweet,white,evapore,strawberry syrup,2.3
filter,single,very sweet,white,evapore,caramel syrup,2.3
filter,single,very sweet,white,evapore,hazelnut syrup,2.3
filter,single,very sweet,white,evapore,vanilla syrup,2.3
filter,single,very sweet,white,evapore,cinnamon powder,2.0
filter,single,very sweet,white,evapore,chocolate powder,2.0
filter,single,very sweet,white,almond,,2.4
filter,single,very sweet,white,almond,chocolate syrup,2.7
filter,single,very sweet,white,almond,strawberry syrup,2.7
filter,single,very sweet,white,almond,caramel syrup,2.7
filter,single,very sweet,white,almond,hazelnut syrup,2.7
filter,single,very sweet,white,almond,vanilla syrup,2.7
filter,single,very sweet,white,almond,cinnamon powder,2.4
filter,single,very sweet,white,almond,chocolate powder,2.4
filter,single,very sweet,white,coconut,,2.4
filter,single,very sweet,white,coconut,chocolate syrup,2.7
filter,single,very sweet,white,coconut,strawberry syrup,2.7
filter,single,very sweet,white,coconut,caramel syrup,2.7
filter,single,very sweet,white,coconut,hazelnut syrup,2.7
filter,single,very sweet,white,coconut,vanilla syrup,2.7
filter,single,very sweet,white,coconut,cinnamon powder,2.4
filter,single,very sweet,white,coconut,chocolate powder,2.4
filter,single,very sweet,white,oat,,2.4
filter,single,very sweet,white,oat,chocolate syrup,2.7
filter,single,very sweet,white,oat,strawberry syrup,2.7
filter,single,very sweet,white,oat,caramel syrup,2.7
filter,single,very sweet,white,oat,hazelnut syrup,2.7
filter,single,very sweet,white,oat,vanilla syrup,2.7
filter,single,very sweet,white,oat,cinnamon powder,2.4
filter,single,very sweet,white,oat,chocolate powder,2.4
filter,single,very sweet,brown,,,2.0
filter,single,very sweet,brown,,chocolate syrup,2.3
filter,single,very sweet,brown,,strawberry syrup,2.3
filter,single,very sweet,brown,,caramel syrup,2.3
filter,single,very sweet,brown,,hazelnut syrup,2.3
filter,single,very sweet,brown,,vanilla syrup,2.3
filter,single,very sweet,brown,,cinnamon powder,2.0
filter,single,very sweet,brown,,chocolate powder,2.0
filter,single,very sweet,brown,fresh,,2.0
filter,single,very sweet,brown,fresh,chocolate syrup,2.3
filter,single,very sweet,brown,fresh,strawberry syrup,2.3
filter,single,very sweet,brown,fresh,caramel syrup,2.3
filter,single,very sweet,brown,fresh,hazelnut syrup,2.3
filter,single,very sweet,brown,fresh,vanilla syrup,2.3
filter,single,very sweet,brown,fresh,cinnamon powder,2.0
filter,single,very sweet,brown,fresh,chocolate powder,2.0
filter,single,very sweet,brown,evapore,,2.0
filter,single,very sweet,brown,evapore,chocolate syrup,2.3
filter,single,very sweet,brown,evapore,strawberry syrup,2.3
filter,single,very sweet,brown,evapore,caramel syrup,2.3
filter,single,very sweet,brown,evapore,hazelnut syrup,2.3
filter,single,very sweet,brown,evapore,vanilla syrup,2.3
filter,single,very sweet,brown,evapore,cinnamon powder,2.0
filter,single,very sweet,brown,evapore,chocolate powder,2.0
filter,single,very sweet,brown,almond,,2.4
filter,single,very sweet,brown,almond,chocolate syrup,2.7
filter,single,very sweet,brown,almond,strawberry syrup,2.7
filter,single,very sweet,brown,almond,caramel syrup,2.7
filter,single,very sweet,brown,almond,hazelnut syrup,2.7
filter,single,very sweet,brown,almond,vanilla syrup,2.7
filter,single,very sweet,brown,almond,cinnamon powder,2.4
filter,single,very sweet,brown,almond,chocolate powder,2.4
filter,single,very sweet,brown,coconut,,2.4
filter,single,very sweet,brown,coconut,chocolate syrup,2.7
filter,single,very sweet,brown,coconut,strawberry syrup,2.7
filter,single,very sweet,brown,coconut,caramel syrup,2.7
filter,single,very sweet,brown,coconut,hazelnut syrup,2.7
filter,single,very sweet,brown,coconut,vanilla syrup,2.7
filter,single,very sweet,brown,coconut,cinnamon powder,2.4
filter,single,very sweet,brown,coconut,chocolate powder,2.4
filter,single,very sweet,brown,oat,,2.4
filter,single,very sweet,brown,oat,chocolate syrup,2.7
filter,single,very sweet,brown,oat,strawberry syrup,2.7
filter,single,very sweet,brown,oat,caramel syrup,2.7
filter,single,very sweet,brown,oat,hazelnut syrup,2.7
filter,single,very sweet,brown,oat,vanilla syrup,2.7
filter,single,very sweet,brown,oat,cinnamon powder,2.4
filter,single,very sweet,brown,oat,chocolate powder,2.4
filter,single,very sweet,saccharin,,,2.0
filter,single,very sweet,saccharin,,chocolate syrup,2.3
filter,single,very sweet,saccharin,,strawberry syrup,2.3
filter,single,very sweet,saccharin,,caramel syrup,2.3
filter,single,very sweet,saccharin,,hazelnut syrup,2.3
filter,single,very sweet,saccharin,,vanilla syrup,2.3
filter,single,very sweet,saccharin,,cinnamon powder,2.0
filter,single,very sweet,saccharin,,chocolate powder,2.0
filter,single,very sweet,saccharin,fresh,,2.0
filter,single,very sweet,saccharin,fresh,chocolate syrup,2.3
filter,single,very sweet,saccharin,fresh,strawberry syrup,2.3
filter,single,very sweet,saccharin,fresh,caramel syrup,2.3
filter,single,very sweet,saccharin,fresh,hazelnut syrup,2.3
filter,single,very sweet,saccharin,fresh,vanilla syrup,2.3
filter,single,very sweet,saccharin,fresh,cinnamon powder,2.0
filter,single,very sweet,saccharin,fresh,chocolate powder,2.0
filter,single,very sweet,saccharin,evapore,,2.0
filter,single,very sweet,saccharin,evapore,chocolate syrup,2.3
filter,single,very sweet,saccharin,evapore,strawberry syrup,2.3
filter,single,very sweet,saccharin,evapore,caramel syrup,2.3
filter,single,very sweet,saccharin,evapore,hazelnut syrup,2.3
filter,single,very sweet,saccharin,evapore,vanilla syrup,2.3
filter,single,very sweet,saccharin,evapore,cinnamon powder,2.0
filter,single,very sweet,saccharin,evapore,chocolate powder,2.0
filter,single,very sweet,saccharin,almond,,2.4
filter,single,very sweet,saccharin,almond,chocolate syrup,2.7
filter,single,very sweet,saccharin,almond,strawberry syrup,2.7
filter,single,very sweet,saccharin,almond,caramel syrup,2.7
filter,single,very sweet,saccharin,almond,hazelnut syrup,2.7
filter,single,very sweet,saccharin,almond,vanilla syrup,2.7
filter,single,very sweet,saccharin,almond,cinnamon powder,2.4
filter,single,very sweet,saccharin,almond,chocolate powder,2.4
filter,single,very sweet,saccharin,coconut,,2.4
filter,single,very sweet,saccharin,coconut,chocolate syrup,2.7
filter,single,very sweet,saccharin,coconut,strawberry syrup,2.7
filter,single,very sweet,saccharin,coconut,caramel syrup,2.7
filter,single,very sweet,saccharin,coconut,hazelnut syrup,2.7
filter,single,very sweet,saccharin,coconut,vanilla syrup,2.7
filter,single,very sweet,saccharin,coconut,cinnamon powder,2.4
filter,single,very sweet,saccharin,coconut,chocolate powder,2.4
filter,single,very sweet,saccharin,oat,,2.4
filter,single,very sweet,saccharin,oat,chocolate syrup,2.7
filter,single,very sweet,saccharin,oat,strawberry syrup,2.7
filter,single,very sweet,saccharin,oat,caramel syrup,2.7
filter,single,very sweet,saccharin,oat,hazelnut syrup,2.7
filter,single,very sweet,saccharin,oat,vanilla syrup,2.7
filter,single,very sweet,saccharin,oat,cinnamon powder,2.4
filter,single,very sweet,saccharin,oat,chocolate powder,2.4
filter,single,very sweet,stevia,,,2.0
filter,single,very sweet,stevia,,chocolate syrup,2.3
filter,single,very sweet,stevia,,strawberry syrup,2.3
filter,single,very sweet,stevia,,caramel syrup,2.3
filter,single,very sweet,stevia,,hazelnut syrup,2.3
filter,single,very sweet,stevia,,vanilla syrup,2.3
filter,single,very sweet,stevia,,cinnamon powder,2.0
filter,single,very sweet,stevia,,chocolate powder,2.0
filter,single,very sweet,stevia,fresh,,2.0
filter,single,very sweet,stevia,fresh,chocolate syrup,2.3
filter,single,very sweet,stevia,fresh,strawberry syrup,2.3
filter,single,very sweet,stevia,fresh,caramel syrup,2.3
filter,single,very sweet,stevia,fresh,hazelnut syrup,2.3
filter,single,very sweet,stevia,fresh,vanilla syrup,2.3
filter,single,very sweet,stevia,fresh,cinnamon powder,2.0
filter,single,very sweet,stevia,fresh,chocolate powder,2.0
filter,single,very sweet,stevia,evapore,,2.0
filter,single,very sweet,stevia,evapore,chocolate syrup,2.3
filter,single,very sweet,stevia,evapore,strawberry syrup,2.3
filter,single,very sweet,stevia,evapore,caramel syrup,2.3
filter,single,very sweet,stevia,evapore,hazelnut syrup,2.3
filter,single,very sweet,stevia,evapore,vanilla syrup,2.3
filter,single,very sweet,stevia,evapore,cinnamon powder,2.0
filter,single,very sweet,stevia,evapore,chocolate powder,2.0
filter,single,very sweet,stevia,almond,,2.4
filter,single,very sweet,stevia,almond,chocolate syrup,2.7
filter,single,very sweet,stevia,almond,strawberry syrup,2.7
filter,single,very sweet,stevia,almond,caramel syrup,2.7
filter,single,very sweet,stevia,almond,hazelnut syrup,2.7
filter,single,very sweet,stevia,almond,vanilla syrup,2.7
filter,single,very sweet,stevia,almond,cinnamon powder,2.4
filter,single,very sweet,stevia,almond,chocolate powder,2.4
filter,single,very sweet,stevia,coconut,,2.4
filter,single,very sweet,stevia,coconut,chocolate syrup,2.7
filter,single,very sweet,stevia,coconut,strawberry syrup,2.7
filter,single,very sweet,stevia,coconut,caramel syrup,2.7
filter,single,very sweet,stevia,coconut,hazelnut syrup,2.7
filter,single,very sweet,stevia,coconut,vanilla syrup,2.7
filter,single,very sweet,stevia,coconut,cinnamon powder,2.4
filter,single,very sweet,stevia,coconut,chocolate powder,2.4
filter,single,very sweet,stevia,oat,,2.4
filter,single,very sweet,stevia,oat,chocolate syrup,2.7
filter,single,very sweet,stevia,oat,strawberry syrup,2.7
filter,single,very sweet,stevia,oat,caramel syrup,2.7
filter,single,very sweet,stevia,oat,hazelnut syrup,2.7
filter,single,very sweet,stevia,oat,vanilla syrup,2.7
filter,single,very sweet,stevia,oat,cinnamon powder,2.4
filter,single,very sweet,stevia,oat,chocolate powder,2.4
filter,single,very sweet,honey,,,2.3
filter,single,very sweet,honey,,chocolate syrup,2.6
filter,single,very sweet,honey,,strawberry syrup,2.6
filter,single,very sweet,honey,,caramel syrup,2.6
filter,single,very sweet,honey,,hazelnut syrup,2.6
filter,single,very sweet,honey,,vanilla syrup,2.6
filter,single,very sweet,honey,,cinnamon powder,2.3
filter,single,very sweet,honey,,chocolate powder,2.3
filter,single,very sweet,honey,fresh,,2.3
filter,single,very sweet,honey,fresh,chocolate syrup,2.6
filter,single,very sweet,honey,fresh,strawberry syrup,2.6
filter,single,very sweet,honey,fresh,caramel syrup,2.6
filter,single,very sweet,honey,fresh,hazelnut syrup,2.6
filter,single,very sweet,honey,fresh,vanilla syrup,2.6
filter,single,very sweet,honey,fresh,cinnamon powder,2.3
filter,single,very sweet,honey,fresh,chocolate powder,2.3
filter,single,very sweet,honey,evapore,,2.3
filter,single,very sweet,honey,evapore,chocolate syrup,2.6
filter,single,very sweet,honey,evapore,strawberry syrup,2.6
filter,single,very sweet,honey,evapore,caramel syrup,2.6
filter,single,very sweet,honey,evapore,hazelnut syrup,2.6
filter,single,very sweet,honey,evapore,vanilla syrup,2.6
filter,single,very sweet,honey,evapore,cinnamon powder,2.3
filter,single,very sweet,honey,evapore,chocolate powder,2.3
filter,single,very sweet,honey,almond,,2.7
filter,single,very sweet,honey,almond,chocolate syrup,3.0
filter,single,very sweet,honey,almond,strawberry syrup,3.0
filter,single,very sweet,honey,almond,caramel syrup,3.0
filter,single,very sweet,honey,almond,hazelnut syrup,3.0
filter,single,very sweet,honey,almond,vanilla syrup,3.0
filter,single,very sweet,honey,almond,cinnamon powder,2.7
filter,single,very sweet,honey,almond,chocolate powder,2.7
filter,single,very sweet,honey,coconut,,2.7
filter,single,very sweet,honey,coconut,chocolate syrup,3.0
filter,single,very sweet,honey,coconut,strawberry syrup,3.0
filter,single,very sweet,honey,coconut,caramel syrup,3.0
filter,single,very sweet,honey,coconut,hazelnut syrup,3.0
filter,single,very sweet,honey,coconut,vanilla syrup,3.0
filter,single,very sweet,honey,coconut,cinnamon powder,2.7
filter,single,very sweet,honey,coconut,chocolate powder,2.7
filter,single,very sweet,honey,oat,,2.7
filter,single,very sweet,honey,oat,chocolate syrup,3.0
filter,single,very sweet,honey,oat,strawberry syrup,3.0
